Code,FS_Rules,FS_Prof_Tech_Component,EFS_Rules,EFS_Prof_Tech_Component
0522,0,0,0,0
0524,0,0,0,0
0525,0,0,0,0
0527,0,0,0,0
0528,0,0,0,0
0529,0,0,0,0
0551,0,0,0,0
0561,0,0,0,0
0571,0,0,0,0
0580,0,0,0,0
0583,0,0,0,0
0589,0,0,0,0
0651,0,0,0,0
0652,0,0,0,0
0655,0,0,0,0
0656,0,0,0,0
0657,0,0,0,0
0658,0,0,0,0
0900,0,0,0,0
0940,0,0,0,0
10021,1,0,0,0
10022,1,0,0,0
10030,1,0,19,0
10035,1,0,0,0
10036,1,0,0,0
10040,1,0,3,0
10060,1,0,25,0
10061,1,0,4,0
10080,1,0,7,0
10081,1,0,4,0
10120,1,0,25,0
10121,1,0,4,0
10140,1,0,11,0
10160,1,0,25,0
10180,1,0,17,0
11000,1,0,25,0
11001,1,0,7,0
11004,1,0,5,0
11005,1,0,5,0
11006,1,0,5,0
11008,1,0,5,0
11010,1,0,17,0
11011,1,0,17,0
11012,1,0,17,0
11042,1,0,25,0
11043,1,0,17,0
11044,1,0,17,0
11045,1,0,17,0
11046,1,0,17,0
11047,1,0,17,0
11055,1,0,17,0
11056,1,0,17,0
11057,1,0,17,0
11100,1,0,25,0
11101,1,0,25,0
11200,1,0,25,0
11201,1,0,7,0
11300,1,0,7,0
11301,1,0,7,0
11302,1,0,7,0
11303,1,0,7,0
11305,1,0,7,0
11306,1,0,7,0
11307,1,0,7,0
11308,1,0,7,0
11310,1,0,7,0
11311,1,0,7,0
11312,1,0,7,0
11313,1,0,7,0
11400,1,0,7,0
11401,1,0,7,0
11402,1,0,7,0
11403,1,0,7,0
11404,1,0,7,0
11406,1,0,7,0
11420,1,0,25,0
11421,1,0,25,0
11422,1,0,25,0
11423,1,0,25,0
11424,1,0,25,0
11426,1,0,25,0
11440,1,0,7,0
11441,1,0,7,0
11442,1,0,7,0
11443,1,0,7,0
11444,1,0,7,0
11446,1,0,7,0
11450,1,0,7,0
11451,1,0,7,0
11462,1,0,7,0
11463,1,0,7,0
11470,1,0,7,0
11471,1,0,5,0
11600,1,0,7,0
11601,1,0,7,0
11602,1,0,7,0
11603,1,0,5,0
11604,1,0,5,0
11606,1,0,5,0
11620,1,0,25,0
11621,1,0,25,0
11622,1,0,25,0
11623,1,0,17,0
11624,1,0,17,0
11626,1,0,17,0
11640,1,0,7,0
11641,1,0,7,0
11642,1,0,7,0
11643,1,0,5,0
11644,1,0,5,0
11646,1,0,5,0
11720,1,0,25,0
11721,1,0,25,0
11730,1,0,25,0
11732,1,0,25,0
11740,1,0,23,0
11750,1,0,25,0
11755,1,0,5,0
11760,1,0,25,0
11762,1,0,5,0
11765,1,0,25,0
11770,1,0,5,0
11771,1,0,5,0
11772,1,0,4,0
11900,1,0,25,0
11901,1,0,25,0
11960,1,0,17,0
11970,1,0,5,0
11971,1,0,5,0
11976,1,0,6,0
11980,1,0,7,0
11981,1,0,23,0
11982,1,0,23,0
11983,1,0,23,0
12001,1,0,25,0
12002,1,0,25,0
12004,1,0,25,0
12005,1,0,25,0
12006,1,0,7,0
12007,1,0,7,0
12011,1,0,7,0
12013,1,0,7,0
12014,1,0,7,0
12015,1,0,7,0
12016,1,0,7,0
12017,1,0,7,0
12018,1,0,7,0
12020,1,0,7,0
12021,1,0,7,0
12031,1,0,7,0
12032,1,0,7,0
12034,1,0,7,0
12035,1,0,5,0
12036,1,0,5,0
12037,0,0,0,0
12041,1,0,25,0
12042,1,0,25,0
12044,1,0,17,0
12045,1,0,17,0
12046,1,0,5,0
12047,1,0,5,0
12051,1,0,7,0
12052,1,0,7,0
12053,1,0,7,0
12054,1,0,5,0
12055,1,0,5,0
12056,1,0,5,0
12057,1,0,5,0
13100,1,0,7,0
13101,1,0,7,0
13102,1,0,7,0
13120,1,0,7,0
13121,1,0,7,0
13122,1,0,7,0
13131,1,0,25,0
13132,1,0,25,0
13133,1,0,25,0
13151,1,0,5,0
13152,1,0,5,0
13153,1,0,5,0
13160,1,0,17,0
14000,1,0,7,0
14001,1,0,5,0
14020,1,0,7,0
14021,1,0,5,0
14040,1,0,25,0
14041,1,0,5,0
14060,1,0,7,0
14061,1,0,5,0
14301,1,0,4,0
14302,1,0,4,0
14350,1,0,25,0
15002,1,0,4,0
15003,1,0,4,0
15004,1,0,15,0
15005,1,0,4,0
15040,1,0,5,0
15050,1,0,25,0
15100,1,0,17,0
15101,1,0,5,0
15110,1,0,5,0
15111,1,0,5,0
15115,1,0,17,0
15116,1,0,17,0
15120,1,0,17,0
15121,1,0,17,0
15130,1,0,5,0
15131,1,0,5,0
15135,1,0,17,0
15136,1,0,17,0
15150,1,0,5,0
15151,1,0,5,0
15152,1,0,5,0
15155,1,0,17,0
15156,1,0,17,0
15157,1,0,17,0
15200,1,0,5,0
15201,1,0,5,0
15220,1,0,5,0
15221,1,0,5,0
15240,1,0,17,0
15241,1,0,17,0
15260,1,0,5,0
15261,1,0,5,0
15271,1,0,5,0
15272,1,0,5,0
15273,1,0,5,0
15274,1,0,5,0
15275,1,0,17,0
15276,1,0,17,0
15277,1,0,17,0
15278,1,0,17,0
15570,1,0,5,0
15572,1,0,5,0
15574,1,0,17,0
15576,1,0,5,0
15600,1,0,5,0
15610,1,0,5,0
15620,1,0,17,0
15630,1,0,5,0
15650,1,0,4,0
15731,1,0,4,0
15732,1,0,5,0
15734,1,0,5,0
15736,1,0,5,0
15738,1,0,5,0
15740,1,0,5,0
15750,1,0,5,0
15756,1,0,5,0
15757,1,0,5,0
15758,1,0,5,0
15760,1,0,5,0
15770,1,0,5,0
15777,1,0,4,0
15780,1,0,5,0
15781,1,0,5,0
15782,1,0,5,0
15783,1,0,5,0
15786,1,0,7,0
15787,1,0,7,0
15788,1,0,5,0
15789,1,0,5,0
15792,1,0,5,0
15793,1,0,5,0
15820,1,0,5,0
15821,1,0,5,0
15822,1,0,5,0
15823,1,0,5,0
15840,1,0,5,0
15841,1,0,5,0
15842,1,0,5,0
15845,1,0,5,0
15851,1,0,17,0
15860,1,0,5,0
15920,1,0,5,0
15922,1,0,5,0
15931,1,0,5,0
15933,1,0,5,0
15934,1,0,5,0
15935,1,0,5,0
15936,1,0,5,0
15937,1,0,5,0
15940,1,0,5,0
15941,1,0,5,0
15944,1,0,5,0
15945,1,0,5,0
15946,1,0,5,0
15950,1,0,5,0
15951,1,0,5,0
15952,1,0,5,0
15953,1,0,5,0
15956,1,0,5,0
15958,1,0,5,0
15999,0,0,0,0
16000,1,0,25,0
16020,1,0,25,0
16025,1,0,5,0
16030,1,0,5,0
16035,1,0,17,0
16036,1,0,5,0
17000,1,0,25,0
17003,1,0,17,0
17004,1,0,21,0
17106,1,0,25,0
17107,1,0,21,0
17108,1,0,21,0
17110,1,0,25,0
17111,1,0,17,0
17250,1,0,5,0
17260,1,0,7,0
17261,1,0,7,0
17262,1,0,7,0
17263,1,0,7,0
17264,1,0,7,0
17266,1,0,7,0
17270,1,0,25,0
17271,1,0,25,0
17272,1,0,25,0
17273,1,0,25,0
17274,1,0,25,0
17276,1,0,25,0
17280,1,0,7,0
17281,1,0,7,0
17282,1,0,7,0
17283,1,0,7,0
17284,1,0,7,0
17286,1,0,7,0
17311,1,0,4,0
17312,1,0,4,0
17313,1,0,4,0
17314,1,0,4,0
17315,1,0,4,0
17340,1,0,7,0
17360,1,0,7,0
17999,0,0,0,0
19000,1,0,7,0
19001,1,0,7,0
19020,1,0,5,0
19030,1,0,5,0
19081,1,0,4,0
19082,1,0,4,0
19083,1,0,4,0
19084,1,0,4,0
19085,1,0,4,0
19086,1,0,4,0
19100,1,0,7,0
19101,1,0,7,0
19110,1,0,7,0
19112,1,0,7,0
19120,1,0,4,0
19125,1,0,5,0
19126,1,0,5,0
19260,1,0,5,0
19271,1,0,5,0
19272,1,0,5,0
19281,1,0,4,0
19282,1,0,4,0
19283,1,0,4,0
19284,1,0,4,0
19285,1,0,4,0
19286,1,0,4,0
19287,1,0,4,0
19288,1,0,4,0
19296,1,0,5,0
19297,1,0,5,0
19298,1,0,5,0
19300,1,0,4,0
19301,1,0,4,0
19302,1,0,4,0
19303,1,0,4,0
19304,1,0,4,0
19305,1,0,4,0
19306,1,0,4,0
19307,1,0,4,0
19316,1,0,4,0
19318,1,0,5,0
19324,1,0,5,0
19325,1,0,5,0
19328,1,0,7,0
19330,1,0,7,0
19340,1,0,5,0
19342,1,0,5,0
19350,1,0,5,0
19357,1,0,5,0
19361,1,0,5,0
19364,1,0,5,0
19366,1,0,5,0
19367,1,0,5,0
19368,1,0,5,0
19369,1,0,5,0
19370,1,0,5,0
19371,1,0,5,0
19380,1,0,5,0
19396,1,0,5,0
19499,0,0,0,0
20005,1,0,17,0
20100,1,0,5,0
20101,1,0,5,0
20102,1,0,5,0
20103,1,0,17,0
20150,1,0,5,0
20200,1,0,11,0
20205,1,0,3,0
20206,1,0,5,0
20220,1,0,1,0
20225,1,0,1,0
20240,1,0,5,0
20245,1,0,5,0
20250,1,0,1,0
20251,1,0,1,0
20500,1,0,11,0
20501,1,0,3,0
20520,1,0,11,0
20525,1,0,3,0
20526,1,0,3,0
20527,1,0,3,0
20550,1,0,11,0
20551,1,0,1,0
20552,1,0,1,0
20553,1,0,1,0
20555,1,0,4,0
20600,1,0,11,0
20604,1,0,13,0
20605,1,0,11,0
20606,1,0,13,0
20610,1,0,3,0
20611,1,0,3,0
20612,1,0,7,0
20615,1,0,5,0
20650,1,0,17,0
20660,1,0,5,0
20661,1,0,1,0
20662,1,0,1,0
20663,1,0,1,0
20664,1,0,5,0
20665,1,0,5,0
20670,1,0,25,0
20680,1,0,17,0
20690,1,0,5,0
20692,1,0,7,0
20693,1,0,7,0
20694,1,0,7,0
20696,1,0,0,0
20697,1,0,0,0
20802,1,0,1,0
20805,1,0,1,0
20808,1,0,1,0
20816,0,0,0,0
20822,1,0,1,0
20824,1,0,1,0
20827,1,0,1,0
20838,1,0,1,0
20900,1,0,5,0
20902,1,0,5,0
20910,1,0,1,0
20912,1,0,1,0
20920,1,0,1,0
20922,1,0,1,0
20924,1,0,5,0
20926,1,0,5,0
20930,0,0,0,0
20931,1,0,1,0
20936,0,0,0,0
20937,1,0,1,0
20938,1,0,1,0
20950,0,0,0,0
20955,1,0,1,0
20956,1,0,1,0
20957,1,0,1,0
20962,1,0,1,0
20969,1,0,5,0
20970,1,0,1,0
20972,1,0,5,0
20973,1,0,5,0
20974,1,0,5,0
20975,0,0,0,0
20979,1,0,5,0
20982,1,0,1,0
20983,1,0,1,0
20985,1,0,0,0
20999,0,0,0,0
2101,0,0,0,0
21010,1,0,5,0
21011,1,0,5,0
21012,1,0,5,0
21013,1,0,5,0
21014,1,0,5,0
21015,1,0,5,0
21016,1,0,5,0
21025,1,0,5,0
21026,0,0,0,0
21029,1,0,5,0
21030,1,0,5,0
21031,1,0,5,0
21032,1,0,5,0
21034,1,0,5,0
21040,1,0,5,0
21044,1,0,5,0
21045,1,0,5,0
21046,1,0,5,0
21047,1,0,5,0
21048,1,0,5,0
21049,1,0,5,0
21050,1,0,5,0
21060,1,0,5,0
21070,1,0,5,0
21073,1,0,4,0
21100,1,0,5,0
21110,1,0,7,0
21116,1,0,5,0
21120,1,0,5,0
21121,1,0,5,0
21122,1,0,5,0
21123,1,0,5,0
21127,1,0,5,0
21137,1,0,5,0
21138,1,0,5,0
21139,1,0,5,0
21141,1,0,5,0
21142,1,0,5,0
21143,1,0,5,0
21145,1,0,5,0
21146,1,0,5,0
21147,1,0,5,0
21150,1,0,5,0
21151,1,0,5,0
21154,1,0,5,0
21155,1,0,5,0
21159,1,0,5,0
21160,1,0,5,0
21172,1,0,5,0
21175,1,0,5,0
21179,1,0,5,0
21180,1,0,5,0
21181,1,0,5,0
21182,1,0,5,0
21183,1,0,5,0
21184,1,0,5,0
21188,1,0,5,0
21193,1,0,5,0
21194,1,0,5,0
21195,1,0,5,0
21196,1,0,5,0
21198,1,0,5,0
21199,1,0,5,0
21206,1,0,5,0
21208,1,0,5,0
21209,1,0,5,0
21210,1,0,5,0
21215,1,0,5,0
21230,1,0,5,0
21235,1,0,5,0
21240,1,0,5,0
21242,1,0,5,0
21243,1,0,5,0
21244,1,0,5,0
21245,1,0,5,0
21246,1,0,5,0
21247,1,0,5,0
21248,1,0,5,0
21249,1,0,5,0
21255,1,0,5,0
21256,1,0,5,0
21260,1,0,5,0
21261,1,0,5,0
21263,1,0,5,0
21267,1,0,5,0
21268,1,0,5,0
21270,1,0,5,0
21275,1,0,5,0
21280,1,0,5,0
21282,1,0,5,0
21295,1,0,5,0
21296,1,0,5,0
21299,0,0,0,0
21310,1,0,5,0
21315,1,0,7,0
21320,1,0,5,0
21325,1,0,5,0
21330,1,0,5,0
21335,1,0,5,0
21336,1,0,5,0
21337,1,0,5,0
21338,1,0,5,0
21339,1,0,5,0
21340,1,0,5,0
21343,1,0,5,0
21344,1,0,5,0
21345,1,0,5,0
21346,1,0,5,0
21347,1,0,5,0
21348,1,0,5,0
21355,1,0,5,0
21356,1,0,5,0
21360,1,0,5,0
21365,1,0,5,0
21366,1,0,5,0
21385,1,0,5,0
21386,1,0,5,0
21387,1,0,5,0
21390,1,0,5,0
21395,1,0,5,0
21400,1,0,5,0
21401,1,0,5,0
21406,1,0,5,0
21407,1,0,5,0
21408,1,0,5,0
21421,1,0,5,0
21422,1,0,5,0
21423,1,0,5,0
21431,1,0,5,0
21432,1,0,5,0
21433,1,0,5,0
21435,1,0,4,0
21436,1,0,5,0
21440,1,0,5,0
21445,1,0,5,0
21450,0,0,0,0
21451,1,0,5,0
21452,1,0,5,0
21453,1,0,5,0
21454,1,0,5,0
21461,1,0,5,0
21462,1,0,5,0
21465,1,0,5,0
21470,1,0,4,0
21480,1,0,7,0
21485,1,0,5,0
21490,1,0,5,0
21497,1,0,7,0
21499,0,0,0,0
21501,1,0,5,0
21502,1,0,5,0
21510,1,0,5,0
21550,1,0,5,0
21552,1,0,4,0
21554,1,0,4,0
21555,1,0,5,0
21556,1,0,5,0
21557,1,0,5,0
21558,1,0,4,0
21600,1,0,5,0
21610,1,0,5,0
21615,1,0,5,0
21616,1,0,5,0
21620,1,0,5,0
21627,1,0,5,0
21630,1,0,5,0
21632,1,0,5,0
21685,1,0,5,0
21700,1,0,5,0
21705,1,0,5,0
21720,1,0,5,0
21725,1,0,5,0
21740,1,0,5,0
21742,0,0,0,0
21743,0,0,0,0
21750,1,0,5,0
21811,1,0,5,0
21812,1,0,5,0
21813,1,0,5,0
21820,1,0,7,0
21825,1,0,5,0
21899,0,0,0,0
21920,1,0,5,0
21925,1,0,5,0
21930,1,0,5,0
21931,1,0,4,0
21932,1,0,5,0
21933,1,0,4,0
21935,1,0,5,0
21936,1,0,4,0
22010,1,0,5,0
22015,1,0,5,0
22100,1,0,5,0
22101,1,0,5,0
22102,1,0,5,0
22103,1,0,5,0
22110,1,0,5,0
22112,1,0,5,0
22114,1,0,5,0
22116,1,0,5,0
22206,1,0,4,0
22207,1,0,4,0
22208,1,0,4,0
22210,1,0,5,0
22212,1,0,5,0
22214,1,0,5,0
22216,1,0,5,0
22220,1,0,5,0
22222,1,0,5,0
22224,1,0,5,0
22226,1,0,5,0
22310,1,0,5,0
22315,1,0,5,0
22318,1,0,5,0
22319,1,0,5,0
22325,1,0,5,0
22326,1,0,5,0
22327,1,0,5,0
22328,1,0,5,0
22505,1,0,5,0
22510,1,0,4,0
22511,1,0,4,0
22512,1,0,4,0
22513,1,0,4,0
22514,1,0,4,0
22515,1,0,4,0
22532,1,0,5,0
22533,1,0,5,0
22534,1,0,5,0
22548,1,0,5,0
22551,1,0,4,0
22552,1,0,4,0
22554,1,0,5,0
22556,1,0,5,0
22558,1,0,5,0
22585,1,0,5,0
22586,1,0,4,0
22590,1,0,5,0
22595,1,0,5,0
22600,1,0,5,0
22610,1,0,4,0
22612,1,0,4,0
22614,1,0,5,0
22630,1,0,5,0
22632,1,0,5,0
22633,1,0,4,0
22634,1,0,4,0
22800,1,0,5,0
22802,1,0,5,0
22804,1,0,5,0
22808,1,0,5,0
22810,1,0,5,0
22812,1,0,5,0
22818,1,0,5,0
22819,1,0,5,0
22830,1,0,5,0
22840,1,0,5,0
22841,0,0,0,0
22842,1,0,5,0
22843,1,0,5,0
22844,1,0,5,0
22845,1,0,5,0
22846,1,0,5,0
22847,1,0,5,0
22848,1,0,5,0
22849,1,0,5,0
22850,1,0,5,0
22852,1,0,5,0
22853,1,0,4,0
22854,1,0,4,0
22855,1,0,5,0
22856,1,0,4,0
22857,1,0,4,0
22858,1,0,4,0
22859,1,0,0,0
22861,1,0,4,0
22862,1,0,4,0
22864,1,0,4,0
22865,1,0,4,0
22867,1,0,0,0
22868,1,0,0,0
22869,1,0,0,0
22870,1,0,0,0
22899,0,0,0,0
22900,1,0,4,0
22901,1,0,4,0
22902,1,0,5,0
22903,1,0,5,0
22904,1,0,5,0
22905,1,0,4,0
22999,0,0,0,0
23000,1,0,5,0
23020,1,0,5,0
23030,1,0,5,0
23031,1,0,5,0
23035,1,0,5,0
23040,1,0,5,0
23044,1,0,5,0
23065,1,0,5,0
23066,1,0,5,0
23071,1,0,5,0
23073,1,0,4,0
23075,1,0,5,0
23076,1,0,5,0
23077,1,0,5,0
23078,1,0,4,0
23100,1,0,5,0
23101,1,0,5,0
23105,1,0,5,0
23106,1,0,5,0
23107,1,0,5,0
23120,1,0,5,0
23125,1,0,5,0
23130,1,0,5,0
23140,1,0,5,0
23145,1,0,5,0
23146,1,0,5,0
23150,1,0,5,0
23155,1,0,5,0
23156,1,0,5,0
23170,1,0,5,0
23172,1,0,5,0
23174,1,0,5,0
23180,1,0,5,0
23182,1,0,5,0
23184,1,0,5,0
23190,1,0,5,0
23195,1,0,5,0
23200,1,0,5,0
23210,1,0,5,0
23220,1,0,5,0
23330,1,0,5,0
23333,1,0,4,0
23334,1,0,4,0
23335,1,0,4,0
23350,1,0,7,0
23395,1,0,5,0
23397,1,0,5,0
23400,1,0,5,0
23405,1,0,5,0
23406,1,0,5,0
23410,1,0,5,0
23412,1,0,5,0
23415,1,0,5,0
23420,1,0,5,0
23430,1,0,5,0
23440,1,0,5,0
23450,1,0,5,0
23455,1,0,5,0
23460,1,0,5,0
23462,1,0,5,0
23465,1,0,5,0
23466,1,0,5,0
23470,1,0,5,0
23472,0,0,0,0
23473,1,0,4,0
23474,1,0,4,0
23480,1,0,5,0
23485,1,0,5,0
23490,1,0,5,0
23491,1,0,5,0
23500,1,0,6,0
23505,1,0,7,0
23515,1,0,5,0
23520,1,0,7,0
23525,1,0,7,0
23530,1,0,5,0
23532,1,0,5,0
23540,1,0,5,0
23545,1,0,5,0
23550,1,0,5,0
23552,1,0,5,0
23570,1,0,6,0
23575,1,0,5,0
23585,1,0,4,0
23600,1,0,6,0
23605,1,0,5,0
23615,1,0,5,0
23616,1,0,5,0
23620,1,0,7,0
23625,1,0,5,0
23630,1,0,5,0
23650,1,0,6,0
23655,1,0,5,0
23660,1,0,5,0
23665,1,0,5,0
23670,1,0,5,0
23675,1,0,5,0
23680,1,0,5,0
23700,1,0,5,0
23800,1,0,5,0
23802,1,0,5,0
23900,1,0,5,0
23920,1,0,5,0
23921,1,0,5,0
23929,0,0,0,0
23930,1,0,5,0
23931,1,0,5,0
23935,1,0,5,0
24000,1,0,5,0
24006,1,0,5,0
24065,1,0,5,0
24066,1,0,5,0
24071,1,0,5,0
24073,1,0,4,0
24075,1,0,5,0
24076,1,0,5,0
24077,0,0,0,0
24079,1,0,4,0
24100,1,0,5,0
24101,1,0,5,0
24102,1,0,5,0
24105,1,0,5,0
24110,1,0,5,0
24115,1,0,5,0
24116,1,0,5,0
24120,1,0,5,0
24125,1,0,5,0
24126,1,0,5,0
24130,1,0,5,0
24134,1,0,5,0
24136,1,0,5,0
24138,1,0,5,0
24140,1,0,5,0
24145,1,0,5,0
24147,1,0,5,0
24149,1,0,5,0
24150,1,0,5,0
24152,1,0,5,0
24155,1,0,5,0
24160,1,0,5,0
24164,1,0,5,0
24200,1,0,5,0
24201,1,0,5,0
24220,1,0,5,0
24300,1,0,4,0
24301,1,0,5,0
24305,1,0,5,0
24310,1,0,5,0
24320,1,0,5,0
24330,1,0,5,0
24331,1,0,5,0
24332,1,0,4,0
24340,1,0,5,0
24341,1,0,5,0
24342,1,0,5,0
24343,1,0,4,0
24344,1,0,4,0
24345,1,0,4,0
24346,1,0,4,0
24357,1,0,4,0
24358,1,0,4,0
24359,1,0,4,0
24360,1,0,5,0
24361,1,0,5,0
24362,0,0,0,0
24363,0,0,0,0
24365,1,0,5,0
24366,1,0,5,0
24370,1,0,4,0
24371,1,0,4,0
24400,1,0,5,0
24410,1,0,5,0
24420,1,0,5,0
24430,1,0,5,0
24435,1,0,5,0
24470,1,0,5,0
24495,1,0,5,0
24498,1,0,5,0
24500,1,0,6,0
24505,1,0,7,0
24515,1,0,5,0
24516,1,0,5,0
24530,1,0,6,0
24535,1,0,5,0
24538,1,0,5,0
24545,1,0,5,0
24546,1,0,5,0
24560,1,0,6,0
24565,1,0,7,0
24566,1,0,5,0
24575,1,0,5,0
24576,1,0,7,0
24577,1,0,5,0
24579,1,0,5,0
24582,1,0,5,0
24586,1,0,5,0
24587,1,0,5,0
24600,1,0,6,0
24605,1,0,5,0
24615,1,0,5,0
24620,1,0,5,0
24635,1,0,5,0
24640,1,0,7,0
24650,1,0,6,0
24655,1,0,5,0
