Medi-Cal UA and UB Modifier Maximum Allowable Reimbursement Rates for Surgical and Anesthesia Supplies and Drugs as of February 2016,,,,,,,,,,,
Procedure Code,,Outpatient,,,,Procedure Code,,Medical,,,UA - Medicaid level of care 10
From,Thru,UA,UB,,,From,Thru,UA,UB,,UB - Medicaid level of care 11
26500,26500,$26.00,$56.00,,,26500,26500,$31.00,$61.00,,
26502,26502,$35.00,$65.00,,,26502,26502,$40.00,$70.00,,
26504,26504,$35.00,$65.00,,,26504,26504,$40.00,$70.00,,
26508,26508,$30.00,$60.00,,,26508,26508,$35.00,$65.00,,
26510,26510,$35.00,$65.00,,,26510,26510,$40.00,$70.00,,
26516,26530,$30.00,$60.00,,,26516,26530,$35.00,$65.00,,
26531,26531,$30.00,$60.00,,,26531,26531,$35.00,$65.00,,
26535,26535,$30.00,$60.00,,,26535,26535,$35.00,$65.00,,
26536,26536,$50.00,$80.00,,,26536,26536,$55.00,$85.00,,
26540,26540,$30.00,$60.00,,,26540,26540,$35.00,$65.00,,
26541,26541,$35.00,$65.00,,,26541,26541,$40.00,$70.00,,
26542,26542,$30.00,$60.00,,,26542,26542,$35.00,$65.00,,
26545,26545,$30.00,$60.00,,,26545,26545,$35.00,$65.00,,
26546,26546,$25.00,$55.00,,,26546,26546,$30.00,$60.00,,
26548,26548,$30.00,$60.00,,,26548,26548,$35.00,$65.00,,
26550,26550,$30.00,$60.00,,,26550,26550,$35.00,$65.00,,
26551,26554,$60.00,$90.00,,,26551,26554,$65.00,$95.00,,
26555,26555,$35.00,$65.00,,,26555,26555,$40.00,$70.00,,
26556,26556,$60.00,$90.00,,,26556,26556,$65.00,$95.00,,
26557,26557,$60.00,$90.00,,,26557,26557,$65.00,$95.00,,
26559,26559,$30.00,$60.00,,,26559,26559,$35.00,$65.00,,
26560,26561,$25.00,$55.00,,,26560,26561,$30.00,$60.00,,
26562,26562,$35.00,$65.00,,,26562,26562,$40.00,$70.00,,
26565,26567,$30.00,$60.00,,,26565,26567,$35.00,$65.00,,
26568,26568,$35.00,$65.00,,,26568,26568,$40.00,$70.00,,
26570,26574,$25.00,$55.00,,,26570,26574,$30.00,$60.00,,
26580,26590,$30.00,$60.00,,,26580,26590,$35.00,$65.00,,
26591,26591,$40.00,$70.00,,,26591,26591,$45.00,$75.00,,
26593,26596,$35.00,$65.00,,,26593,26596,$40.00,$70.00,,
26597,26597,$50.00,$80.00,,,26597,26597,$55.00,$85.00,,
26600,26605,$6.00,$12.00,,,26600,26605,$11.00,$17.00,,
26607,26607,$30.00,$60.00,,,26607,26607,$35.00,$65.00,,
26608,26608,$25.00,$55.00,,,26608,26608,$30.00,$60.00,,
26610,26615,$10.00,$30.00,,,26610,26615,$15.00,$35.00,,
26641,26641,$6.00,$12.00,,,26641,26641,$11.00,$17.00,,
26645,26650,$8.00,$8.00,,,26645,26650,$13.00,$13.00,,
26655,26665,$25.00,$55.00,,,26655,26665,$30.00,$60.00,,
26670,26670,$8.00,$8.00,,,26670,26670,$13.00,$13.00,,
26675,26675,$8.00,$28.00,,,26675,26675,$13.00,$33.00,,
26676,26676,$30.00,$60.00,,,26676,26676,$35.00,$65.00,,
26680,26685,$30.00,$60.00,,,26680,26685,$35.00,$65.00,,
26686,26686,$35.00,$65.00,,,26686,26686,$40.00,$70.00,,
26700,26700,$8.00,$8.00,,,26700,26700,$13.00,$13.00,,
26705,26705,$8.00,$28.00,,,26705,26705,$13.00,$33.00,,
26706,26706,$20.00,$50.00,,,26706,26706,$25.00,$55.00,,
26710,26715,$30.00,$60.00,,,26710,26715,$35.00,$65.00,,
26720,26725,$6.00,$12.00,,,26720,26725,$11.00,$17.00,,
26727,26727,$10.00,$30.00,,,26727,26727,$15.00,$35.00,,
26730,26735,$10.00,$30.00,,,26730,26735,$15.00,$35.00,,
26740,26740,$6.00,$12.00,,,26740,26740,$11.00,$17.00,,
26742,26742,$10.00,$20.00,,,26742,26742,$15.00,$25.00,,
26744,26744,$10.00,$30.00,,,26744,26744,$15.00,$35.00,,
26746,26746,$15.00,$45.00,,,26746,26746,$20.00,$50.00,,
26750,26755,$12.00,$32.00,,,26750,26755,$17.00,$37.00,,
26756,26756,$15.00,$45.00,,,26756,26756,$20.00,$50.00,,
26760,26765,$15.00,$45.00,,,26760,26765,$20.00,$50.00,,
26770,26775,$10.00,$30.00,,,26770,26775,$15.00,$35.00,,
26776,26776,$15.00,$45.00,,,26776,26776,$20.00,$50.00,,
26780,26785,$15.00,$45.00,,,26780,26785,$20.00,$50.00,,
26820,26862,$26.00,$56.00,,,26820,26862,$31.00,$61.00,,
26863,26863,$26.00,$56.00,,,26863,26863,$31.00,$61.00,,
26910,26951,$22.00,$52.00,,,26910,26951,$27.00,$57.00,,
26952,26952,$26.00,$56.00,,,26952,26952,$31.00,$61.00,,
26989,26989,$25.00,$55.00,,,26989,26989,$30.00,$60.00,,
26990,26991,$20.00,$40.00,,,26990,26991,$25.00,$45.00,,
26992,26992,$25.00,$55.00,,,26992,26992,$30.00,$60.00,,
27000,27000,$20.00,$40.00,,,27000,27000,$25.00,$45.00,,
27001,27006,$35.00,$65.00,,,27001,27006,$40.00,$70.00,,
27010,27025,$40.00,$70.00,,,27010,27025,$45.00,$75.00,,
27026,27027,$60.00,$90.00,,,27026,27027,$65.00,$95.00,,
27030,27033,$35.00,$65.00,,,27030,27033,$40.00,$70.00,,
27035,27035,$40.00,$70.00,,,27035,27035,$45.00,$75.00,,
27036,27036,$40.00,$70.00,,,27036,27036,$45.00,$75.00,,
27040,27040,$10.00,$30.00,,,27040,27040,$15.00,$35.00,,
27041,27041,$15.00,$45.00,,,27041,27041,$20.00,$50.00,,
27043,27043,$33.00,$63.00,,,27043,27043,$38.00,$68.00,,
27045,27045,$44.00,$74.00,,,27045,27045,$49.00,$79.00,,
27047,27047,$30.00,$60.00,,,27047,27047,$35.00,$65.00,,
27048,27048,$40.00,$70.00,,,27048,27048,$45.00,$75.00,,
27049,27049,$50.00,$80.00,,,27049,27049,$55.00,$85.00,,
27050,27054,$40.00,$70.00,,,27050,27054,$45.00,$75.00,,
27057,27057,$60.00,$90.00,,,27057,27057,$65.00,$95.00,,
27059,27059,$55.00,$85.00,,,27059,27059,$60.00,$90.00,,
27060,27062,$40.00,$70.00,,,27060,27062,$45.00,$75.00,,
27065,27066,$30.00,$60.00,,,27065,27066,$35.00,$65.00,,
27067,27067,$45.00,$75.00,,,27067,27067,$50.00,$80.00,,
27070,27071,$40.00,$70.00,,,27070,27071,$45.00,$75.00,,
27075,27075,$50.00,$80.00,,,27075,27075,$55.00,$85.00,,
27076,27076,$60.00,$90.00,,,27076,27076,$65.00,$95.00,,
27077,27078,$55.00,$85.00,,,27077,27078,$61.00,$90.00,,
27079,27079,$60.00,$90.00,,,27079,27079,$65.00,$95.00,,
27080,27080,$60.00,$90.00,,,27080,27080,$65.00,$95.00,,
27086,27086,$15.00,$45.00,,,27086,27086,$20.00,$50.00,,
27087,27087,$30.00,$60.00,,,27087,27087,$35.00,$65.00,,
27090,27090,$20.00,$50.00,,,27090,27090,$25.00,$55.00,,
27091,27091,$25.00,$55.00,,,27091,27091,$30.00,$60.00,,
27093,27093,$10.00,$10.00,,,27093,27093,$15.00,$15.00,,
27095,27095,$10.00,$35.00,,,27095,27095,$15.00,$40.00,,
27096,27096,$12.00,$42.00,,,27096,27096,$17.00,$47.00,,
27097,27097,$25.00,$55.00,,,27097,27097,$30.00,$60.00,,
27098,27098,$30.00,$60.00,,,27098,27098,$35.00,$65.00,,
27100,27111,$35.00,$65.00,,,27100,27111,$40.00,$70.00,,
27120,27122,$60.00,$90.00,,,27120,27122,$65.00,$95.00,,
27125,27126,$70.00,$90.00,,,27125,27126,$75.00,$95.00,,
27127,27127,$80.00,$110.00,,,27127,27127,$85.00,$115.00,,
27130,27134,$100.00,$130.00,,,27130,27134,$105.00,$135.00,,
27137,27138,$80.00,$110.00,,,27137,27138,$85.00,$115.00,,
27140,27157,$40.00,$70.00,,,27140,27157,$45.00,$75.00,,
27158,27158,$50.00,$80.00,,,27158,27158,$55.00,$85.00,,
27161,27161,$35.00,$65.00,,,27161,27161,$40.00,$70.00,,
27165,27165,$35.00,$65.00,,,27165,27165,$40.00,$70.00,,
27170,27170,$30.00,$60.00,,,27170,27170,$35.00,$65.00,,
27175,27175,$20.00,$50.00,,,27175,27175,$25.00,$55.00,,
27176,27178,$30.00,$60.00,,,27176,27178,$35.00,$65.00,,
27179,27179,$35.00,$65.00,,,27179,27179,$40.00,$70.00,,
27181,27185,$40.00,$70.00,,,27181,27185,$45.00,$75.00,,
27187,27187,$35.00,$65.00,,,27187,27187,$40.00,$70.00,,
27190,27190,$10.00,$10.00,,,27190,27190,$15.00,$15.00,,
27192,27192,$10.00,$30.00,,,27192,27192,$15.00,$35.00,,
27193,27193,$15.00,$45.00,,,27193,27193,$20.00,$50.00,,
27194,27194,$15.00,$45.00,,,27194,27194,$20.00,$50.00,,
27195,27196,$15.00,$45.00,,,27195,27196,$20.00,$50.00,,
27200,27202,$15.00,$15.00,,,27200,27202,$20.00,$20.00,,
27210,27210,$10.00,$10.00,,,27210,27210,$15.00,$15.00,,
27212,27212,$15.00,$45.00,,,27212,27212,$20.00,$50.00,,
27214,27218,$35.00,$65.00,,,27214,27218,$40.00,$70.00,,
27220,27220,$10.00,$10.00,,,27220,27220,$15.00,$15.00,,
27222,27222,$15.00,$45.00,,,27222,27222,$20.00,$50.00,,
27224,27224,$25.00,$55.00,,,27224,27224,$30.00,$60.00,,
27225,27225,$35.00,$65.00,,,27225,27225,$40.00,$70.00,,
27226,27228,$25.00,$55.00,,,27226,27228,$30.00,$60.00,,
27230,27230,$15.00,$45.00,,,27230,27230,$20.00,$50.00,,
27232,27232,$25.00,$55.00,,,27232,27232,$30.00,$60.00,,
27234,27236,$35.00,$65.00,,,27234,27236,$40.00,$70.00,,
27238,27238,$15.00,$45.00,,,27238,27238,$20.00,$50.00,,
27240,27240,$25.00,$55.00,,,27240,27240,$30.00,$60.00,,
27242,27242,$35.00,$65.00,,,27242,27242,$40.00,$70.00,,
27244,27244,$40.00,$70.00,,,27244,27244,$45.00,$75.00,,
27245,27245,$40.00,$70.00,,,27245,27245,$45.00,$75.00,,
27246,27246,$15.00,$45.00,,,27246,27246,$20.00,$50.00,,
27248,27248,$35.00,$65.00,,,27248,27248,$40.00,$70.00,,
27250,27250,$6.00,$6.00,,,27250,27250,$11.00,$11.00,,
27252,27252,$6.00,$36.00,,,27252,27252,$11.00,$41.00,,
27253,27253,$25.00,$55.00,,,27253,27253,$30.00,$60.00,,
27254,27254,$40.00,$70.00,,,27254,27254,$45.00,$75.00,,
27255,27255,$60.00,$90.00,,,27255,27255,$65.00,$95.00,,
27256,27256,$35.00,$65.00,,,27256,27256,$40.00,$70.00,,
27257,27257,$30.00,$30.00,,,27257,27257,$35.00,$35.00,,
27258,27258,$80.00,$110.00,,,27258,27258,$85.00,$115.00,,
27259,27259,$90.00,$120.00,,,27259,27259,$95.00,$125.00,,
27265,27265,$6.00,$6.00,,,27265,27265,$11.00,$11.00,,
27266,27266,$6.00,$6.00,,,27266,27266,$11.00,$11.00,,
27267,27267,$15.00,$45.00,,,27267,27267,$20.00,$50.00,,
27268,27268,$25.00,$55.00,,,27268,27268,$30.00,$60.00,,
27269,27269,$35.00,$65.00,,,27269,27269,$40.00,$70.00,,
27275,27275,$5.00,$30.00,,,27275,27275,$10.00,$35.00,,
27279,27282,$90.00,$120.00,,,27279,27282,$95.00,$125.00,,
27284,27286,$100.00,$130.00,,,27284,27286,$105.00,$135.00,,
27290,27290,$60.00,$90.00,,,27290,27290,$65.00,$95.00,,
27295,27295,$90.00,$120.00,,,27295,27295,$95.00,$125.00,,
27299,27299,$40.00,$70.00,,,27299,27299,$45.00,$75.00,,
27301,27303,$25.00,$55.00,,,27301,27303,$30.00,$60.00,,
27305,27305,$25.00,$55.00,,,27305,27305,$30.00,$60.00,,
27306,27307,$25.00,$55.00,,,27306,27307,$30.00,$60.00,,
27310,27310,$50.00,$80.00,,,27310,27310,$55.00,$85.00,,
27315,27320,$35.00,$65.00,,,27315,27320,$40.00,$70.00,,
27323,27323,$15.00,$45.00,,,27323,27323,$20.00,$50.00,,
27324,27324,$25.00,$55.00,,,27324,27324,$30.00,$60.00,,
27325,27326,$35.00,$65.00,,,27325,27326,$40.00,$70.00,,
27327,27327,$35.00,$65.00,,,27327,27327,$40.00,$70.00,,
27328,27328,$35.00,$65.00,,,27328,27328,$40.00,$70.00,,
27329,27329,$45.00,$75.00,,,27329,27329,$50.00,$80.00,,
27330,27335,$50.00,$80.00,,,27330,27335,$55.00,$85.00,,
27337,27337,$39.00,$69.00,,,27337,27337,$44.00,$74.00,,
27339,27339,$39.00,$69.00,,,27339,27339,$44.00,$74.00,,
27340,27345,$45.00,$75.00,,,27340,27345,$50.00,$80.00,,
27347,27347,$45.00,$75.00,,,27347,27347,$50.00,$80.00,,
27350,27350,$40.00,$70.00,,,27350,27350,$45.00,$75.00,,
27355,27358,$30.00,$60.00,,,27355,27358,$35.00,$65.00,,
27360,27360,$28.00,$58.00,,,27360,27360,$33.00,$63.00,,
27364,27365,$50.00,$80.00,,,27364,27365,$55.00,$85.00,,
27370,27370,$20.00,$20.00,,,27370,27370,$25.00,$25.00,,
27372,27372,$20.00,$50.00,,,27372,27372,$25.00,$55.00,,
27380,27380,$35.00,$65.00,,,27380,27380,$40.00,$70.00,,
27381,27381,$40.00,$70.00,,,27381,27381,$45.00,$75.00,,
27385,27385,$30.00,$60.00,,,27385,27385,$35.00,$65.00,,
27386,27386,$40.00,$70.00,,,27386,27386,$45.00,$75.00,,
27390,27391,$35.00,$65.00,,,27390,27391,$40.00,$70.00,,
27392,27392,$52.00,$97.00,,,27392,27392,$57.00,$102.00,,
27393,27394,$30.00,$60.00,,,27393,27394,$35.00,$65.00,,
27395,27395,$45.00,$90.00,,,27395,27395,$50.00,$95.00,,
27396,27396,$35.00,$65.00,,,27396,27396,$40.00,$70.00,,
27397,27397,$50.00,$80.00,,,27397,27397,$55.00,$85.00,,
27400,27400,$55.00,$85.00,,,27400,27400,$61.00,$90.00,,
27403,27403,$40.00,$70.00,,,27403,27403,$45.00,$75.00,,
27405,27409,$55.00,$85.00,,,27405,27409,$61.00,$90.00,,
27412,27412,$45.00,$75.00,,,27412,27412,$50.00,$80.00,,
27415,27416,$45.00,$75.00,,,27415,27416,$50.00,$80.00,,
27418,27418,$60.00,$90.00,,,27418,27418,$65.00,$95.00,,
27420,27424,$55.00,$85.00,,,27420,27424,$61.00,$90.00,,
27425,27425,$50.00,$80.00,,,27425,27425,$55.00,$85.00,,
27427,27427,$55.00,$85.00,,,27427,27427,$61.00,$90.00,,
27428,27429,$65.00,$95.00,,,27428,27429,$70.00,$100.00,,
27430,27430,$60.00,$90.00,,,27430,27430,$65.00,$95.00,,
27435,27435,$55.00,$85.00,,,27435,27435,$61.00,$90.00,,
27437,27437,$60.00,$90.00,,,27437,27437,$65.00,$95.00,,
27438,27438,$90.00,$120.00,,,27438,27438,$95.00,$125.00,,
27440,27440,$40.00,$70.00,,,27440,27440,$45.00,$75.00,,
27441,27441,$55.00,$85.00,,,27441,27441,$61.00,$90.00,,
27442,27442,$45.00,$75.00,,,27442,27442,$50.00,$80.00,,
27443,27443,$55.00,$85.00,,,27443,27443,$61.00,$90.00,,
27445,27445,$60.00,$90.00,,,27445,27445,$65.00,$95.00,,
27446,27446,$55.00,$85.00,,,27446,27446,$61.00,$90.00,,
27447,27447,$60.00,$90.00,,,27447,27447,$65.00,$95.00,,
27448,27466,$55.00,$85.00,,,27448,27466,$61.00,$90.00,,
27468,27468,$65.00,$95.00,,,27468,27468,$70.00,$100.00,,
27470,27470,$55.00,$85.00,,,27470,27470,$61.00,$90.00,,
27472,27472,$65.00,$95.00,,,27472,27472,$70.00,$100.00,,
27475,27485,$50.00,$80.00,,,27475,27485,$55.00,$85.00,,
27486,27486,$55.00,$85.00,,,27486,27486,$61.00,$90.00,,
27487,27488,$60.00,$90.00,,,27487,27488,$65.00,$95.00,,
27495,27499,$45.00,$75.00,,,27495,27499,$50.00,$80.00,,
27500,27500,$15.00,$45.00,,,27500,27500,$20.00,$50.00,,
27501,27501,$45.00,$75.00,,,27501,27501,$50.00,$80.00,,
27502,27502,$20.00,$50.00,,,27502,27502,$25.00,$55.00,,
27503,27503,$35.00,$65.00,,,27503,27503,$40.00,$70.00,,
27504,27504,$40.00,$70.00,,,27504,27504,$45.00,$75.00,,
27506,27507,$45.00,$75.00,,,27506,27507,$50.00,$80.00,,
27508,27508,$15.00,$45.00,,,27508,27508,$20.00,$50.00,,
27509,27509,$35.00,$65.00,,,27509,27509,$40.00,$70.00,,
27510,27510,$20.00,$50.00,,,27510,27510,$25.00,$55.00,,
27511,27511,$45.00,$75.00,,,27511,27511,$50.00,$80.00,,
27512,27512,$40.00,$70.00,,,27512,27512,$45.00,$75.00,,
27513,27514,$45.00,$75.00,,,27513,27514,$50.00,$80.00,,
27516,27516,$15.00,$45.00,,,27516,27516,$20.00,$50.00,,
27517,27517,$20.00,$50.00,,,27517,27517,$25.00,$55.00,,
27518,27518,$40.00,$70.00,,,27518,27518,$45.00,$75.00,,
27519,27519,$45.00,$75.00,,,27519,27519,$50.00,$80.00,,
27520,27520,$10.00,$30.00,,,27520,27520,$15.00,$35.00,,
27522,27524,$30.00,$60.00,,,27522,27524,$35.00,$65.00,,
27530,27530,$12.00,$12.00,,,27530,27530,$17.00,$17.00,,
27532,27532,$12.00,$32.00,,,27532,27532,$17.00,$37.00,,
27534,27537,$30.00,$60.00,,,27534,27537,$35.00,$65.00,,
27538,27538,$12.00,$32.00,,,27538,27538,$17.00,$37.00,,
27540,27540,$35.00,$65.00,,,27540,27540,$40.00,$70.00,,
27550,27550,$10.00,$30.00,,,27550,27550,$15.00,$35.00,,
27552,27552,$10.00,$30.00,,,27552,27552,$15.00,$35.00,,
27554,27557,$35.00,$65.00,,,27554,27557,$40.00,$70.00,,
27558,27558,$40.00,$70.00,,,27558,27558,$45.00,$75.00,,
27560,27560,$6.00,$6.00,,,27560,27560,$11.00,$11.00,,
27562,27562,$6.00,$36.00,,,27562,27562,$11.00,$41.00,,
27564,27564,$30.00,$60.00,,,27564,27564,$35.00,$65.00,,
27566,27566,$40.00,$70.00,,,27566,27566,$45.00,$75.00,,
27570,27570,$20.00,$50.00,,,27570,27570,$25.00,$55.00,,
27580,27580,$45.00,$75.00,,,27580,27580,$50.00,$80.00,,
27590,27590,$90.00,$120.00,,,27590,27590,$95.00,$125.00,,
27592,27592,$90.00,$120.00,,,27592,27592,$95.00,$125.00,,
27594,27594,$35.00,$65.00,,,27594,27594,$40.00,$70.00,,
27596,27596,$90.00,$120.00,,,27596,27596,$95.00,$125.00,,
27598,27598,$80.00,$110.00,,,27598,27598,$85.00,$115.00,,
27599,27599,$30.00,$60.00,,,27599,27599,$35.00,$65.00,,
27600,27602,$20.00,$50.00,,,27600,27602,$25.00,$55.00,,
27603,27604,$20.00,$40.00,,,27603,27604,$25.00,$45.00,,
27605,27605,$15.00,$15.00,,,27605,27605,$20.00,$20.00,,
27606,27606,$15.00,$45.00,,,27606,27606,$20.00,$50.00,,
27607,27607,$20.00,$40.00,,,27607,27607,$25.00,$45.00,,
27610,27612,$30.00,$60.00,,,27610,27612,$35.00,$65.00,,
27613,27613,$20.00,$50.00,,,27613,27613,$25.00,$55.00,,
27614,27614,$25.00,$55.00,,,27614,27614,$30.00,$60.00,,
27615,27615,$35.00,$65.00,,,27615,27615,$40.00,$70.00,,
27616,27616,$39.00,$69.00,,,27616,27616,$44.00,$74.00,,
27618,27619,$40.00,$70.00,,,27618,27619,$45.00,$75.00,,
27620,27625,$40.00,$70.00,,,27620,27625,$45.00,$75.00,,
27626,27626,$45.00,$75.00,,,27626,27626,$50.00,$80.00,,
27630,27630,$45.00,$75.00,,,27630,27630,$50.00,$80.00,,
27632,27632,$44.00,$74.00,,,27632,27632,$49.00,$79.00,,
27634,27634,$44.00,$74.00,,,27634,27634,$49.00,$79.00,,
27635,27635,$35.00,$65.00,,,27635,27635,$40.00,$70.00,,
27637,27637,$45.00,$75.00,,,27637,27637,$50.00,$80.00,,
27638,27638,$35.00,$65.00,,,27638,27638,$40.00,$70.00,,
27640,27641,$35.00,$65.00,,,27640,27641,$40.00,$70.00,,
27645,27647,$35.00,$65.00,,,27645,27647,$40.00,$70.00,,
27648,27648,$25.00,$55.00,,,27648,27648,$30.00,$60.00,,
27650,27654,$20.00,$50.00,,,27650,27654,$25.00,$55.00,,
27656,27656,$14.00,$34.00,,,27656,27656,$19.00,$39.00,,
27658,27675,$25.00,$55.00,,,27658,27675,$30.00,$60.00,,
27676,27676,$35.00,$65.00,,,27676,27676,$40.00,$70.00,,
27680,27681,$22.00,$52.00,,,27680,27681,$27.00,$57.00,,
27685,27686,$55.00,$85.00,,,27685,27686,$61.00,$90.00,,
27687,27687,$55.00,$85.00,,,27687,27687,$61.00,$90.00,,
27690,27692,$55.00,$85.00,,,27690,27692,$61.00,$90.00,,
27695,27698,$55.00,$85.00,,,27695,27698,$61.00,$90.00,,
27700,27702,$55.00,$85.00,,,27700,27702,$61.00,$90.00,,
27703,27703,$70.00,$100.00,,,27703,27703,$75.00,$105.00,,
27704,27704,$30.00,$60.00,,,27704,27704,$35.00,$65.00,,
27705,27709,$30.00,$60.00,,,27705,27709,$35.00,$65.00,,
27712,27712,$45.00,$75.00,,,27712,27712,$50.00,$80.00,,
27715,27715,$55.00,$85.00,,,27715,27715,$61.00,$90.00,,
27720,27720,$40.00,$70.00,,,27720,27720,$45.00,$75.00,,
27722,27725,$50.00,$80.00,,,27722,27725,$55.00,$85.00,,
27726,27726,$55.00,$85.00,,,27726,27726,$60.00,$90.00,,
27727,27727,$40.00,$70.00,,,27727,27727,$45.00,$75.00,,
27730,27742,$40.00,$70.00,,,27730,27742,$45.00,$75.00,,
27745,27745,$35.00,$65.00,,,27745,27745,$40.00,$70.00,,
27750,27752,$10.00,$30.00,,,27750,27752,$15.00,$35.00,,
27754,27756,$35.00,$65.00,,,27754,27756,$40.00,$70.00,,
27758,27758,$40.00,$70.00,,,27758,27758,$45.00,$75.00,,
27759,27759,$40.00,$70.00,,,27759,27759,$45.00,$75.00,,
27760,27760,$10.00,$10.00,,,27760,27760,$15.00,$15.00,,
27762,27762,$12.00,$32.00,,,27762,27762,$17.00,$37.00,,
27764,27766,$35.00,$65.00,,,27764,27766,$40.00,$70.00,,
27767,27767,$10.00,$10.00,,,27767,27767,$15.00,$15.00,,
27768,27768,$12.00,$32.00,,,27768,27768,$17.00,$37.00,,
27769,27769,$35.00,$65.00,,,27769,27769,$40.00,$70.00,,
27780,27780,$10.00,$10.00,,,27780,27780,$15.00,$15.00,,
27781,27781,$10.00,$10.00,,,27781,27781,$15.00,$15.00,,
27782,27784,$35.00,$65.00,,,27782,27784,$40.00,$70.00,,
27786,27786,$5.00,$5.00,,,27786,27786,$10.00,$10.00,,
27788,27788,$8.00,$38.00,,,27788,27788,$13.00,$43.00,,
27790,27792,$40.00,$70.00,,,27790,27792,$45.00,$75.00,,
27800,27800,$12.00,$42.00,,,27800,27800,$17.00,$47.00,,
27802,27802,$18.00,$48.00,,,27802,27802,$23.00,$53.00,,
27804,27806,$50.00,$80.00,,,27804,27806,$55.00,$85.00,,
27808,27810,$15.00,$45.00,,,27808,27810,$20.00,$50.00,,
27812,27814,$45.00,$75.00,,,27812,27814,$50.00,$80.00,,
27816,27818,$15.00,$45.00,,,27816,27818,$20.00,$50.00,,
27820,27823,$45.00,$75.00,,,27820,27823,$50.00,$80.00,,
27824,27824,$15.00,$45.00,,,27824,27824,$20.00,$50.00,,
27825,27825,$15.00,$45.00,,,27825,27825,$20.00,$50.00,,
27826,27826,$45.00,$75.00,,,27826,27826,$50.00,$80.00,,
27827,27827,$45.00,$75.00,,,27827,27827,$50.00,$80.00,,
27828,27828,$45.00,$75.00,,,27828,27828,$50.00,$80.00,,
27829,27829,$45.00,$75.00,,,27829,27829,$50.00,$80.00,,
27830,27830,$35.00,$65.00,,,27830,27830,$40.00,$70.00,,
27831,27831,$35.00,$65.00,,,27831,27831,$40.00,$70.00,,
27832,27832,$35.00,$65.00,,,27832,27832,$40.00,$70.00,,
27840,27840,$10.00,$10.00,,,27840,27840,$15.00,$15.00,,
27842,27842,$10.00,$30.00,,,27842,27842,$15.00,$35.00,,
27844,27846,$35.00,$65.00,,,27844,27846,$40.00,$70.00,,
27848,27848,$35.00,$65.00,,,27848,27848,$40.00,$70.00,,
27860,27860,$40.00,$70.00,,,27860,27860,$45.00,$75.00,,
27870,27871,$45.00,$75.00,,,27870,27871,$50.00,$80.00,,
27880,27880,$90.00,$120.00,,,27880,27880,$95.00,$125.00,,
27881,27881,$30.00,$60.00,,,27881,27881,$35.00,$65.00,,
27882,27882,$90.00,$120.00,,,27882,27882,$95.00,$125.00,,
27884,27884,$20.00,$50.00,,,27884,27884,$25.00,$55.00,,
27886,27886,$60.00,$90.00,,,27886,27886,$65.00,$95.00,,
27888,27888,$70.00,$100.00,,,27888,27888,$75.00,$105.00,,
27889,27889,$60.00,$90.00,,,27889,27889,$65.00,$95.00,,
27892,27894,$40.00,$70.00,,,27892,27894,$45.00,$75.00,,
27899,27899,$40.00,$70.00,,,27899,27899,$45.00,$75.00,,
28001,28002,$18.00,$48.00,,,28001,28002,$23.00,$53.00,,
28003,28005,$25.00,$55.00,,,28003,28005,$30.00,$60.00,,
28008,28008,$20.00,$50.00,,,28008,28008,$25.00,$55.00,,
28010,28011,$20.00,$50.00,,,28010,28011,$25.00,$55.00,,
28020,28024,$30.00,$60.00,,,28020,28024,$35.00,$65.00,,
28030,28030,$25.00,$55.00,,,28030,28030,$30.00,$60.00,,
28035,28035,$24.00,$54.00,,,28035,28035,$29.00,$59.00,,
28039,28039,$33.00,$63.00,,,28039,28039,$38.00,$68.00,,
28041,28041,$39.00,$69.00,,,28041,28041,$44.00,$74.00,,
28043,28043,$30.00,$60.00,,,28043,28043,$35.00,$65.00,,
28045,28045,$35.00,$65.00,,,28045,28045,$40.00,$70.00,,
28046,28046,$45.00,$75.00,,,28046,28046,$50.00,$80.00,,
28047,28047,$50.00,$80.00,,,28047,28047,$55.00,$85.00,,
28050,28054,$35.00,$65.00,,,28050,28054,$40.00,$70.00,,
28055,28055,$25.00,$55.00,,,28055,28055,$30.00,$60.00,,
28060,28062,$40.00,$70.00,,,28060,28062,$45.00,$75.00,,
28070,28072,$45.00,$75.00,,,28070,28072,$50.00,$80.00,,
28080,28080,$45.00,$75.00,,,28080,28080,$50.00,$80.00,,
28086,28088,$45.00,$75.00,,,28086,28088,$50.00,$80.00,,
28090,28090,$45.00,$75.00,,,28090,28090,$50.00,$80.00,,
28092,28092,$40.00,$75.00,,,28092,28092,$45.00,$80.00,,
28100,28100,$40.00,$75.00,,,28100,28100,$45.00,$80.00,,
28102,28102,$50.00,$80.00,,,28102,28102,$55.00,$85.00,,
28103,28103,$45.00,$75.00,,,28103,28103,$50.00,$80.00,,
28104,28104,$40.00,$75.00,,,28104,28104,$45.00,$80.00,,
28106,28106,$50.00,$80.00,,,28106,28106,$55.00,$85.00,,
28107,28107,$45.00,$75.00,,,28107,28107,$50.00,$80.00,,
28108,28108,$40.00,$70.00,,,28108,28108,$45.00,$75.00,,
28110,28110,$45.00,$75.00,,,28110,28110,$50.00,$80.00,,
28111,28114,$45.00,$75.00,,,28111,28114,$50.00,$80.00,,
28116,28119,$44.00,$74.00,,,28116,28119,$49.00,$79.00,,
28120,28126,$30.00,$60.00,,,28120,28126,$35.00,$65.00,,
28130,28130,$35.00,$65.00,,,28130,28130,$40.00,$70.00,,
