Medi-Cal UA and UB Modifier Maximum Allowable Reimbursement Rates for Surgical and Anesthesia Supplies and Drugs as of February 2016,,,,,,,,,,,
Procedure Code,,Outpatient,,,,Procedure Code,,Medical,,,UA - Medicaid level of care 10
From,Thru,UA,UB,,,From,Thru,UA,UB,,UB - Medicaid level of care 11
11752,11752,$20.00,$50.00,,,11752,11752,$25.00,$55.00,,
11755,11755,$20.00,$50.00,,,11755,11755,$25.00,$55.00,,
11760,11762,$30.00,$60.00,,,11760,11762,$35.00,$65.00,,
11765,11765,$17.00,$47.00,,,11765,11765,$22.00,$52.00,,
11770,11770,$22.00,$42.00,,,11770,11770,$27.00,$47.00,,
11771,11772,$30.00,$50.00,,,11771,11772,$35.00,$55.00,,
11900,11901,$4.00,$4.00,,,11900,11901,$9.00,$9.00,,
11950,11950,$4.00,$4.00,,,11950,11950,$9.00,$9.00,,
11951,11951,$4.00,$4.00,,,11951,11951,$9.00,$9.00,,
11952,11952,$4.00,$4.00,,,11952,11952,$9.00,$9.00,,
11953,11953,$4.00,$4.00,,,11953,11953,$9.00,$9.00,,
11954,11954,$4.00,$4.00,,,11954,11954,$9.00,$9.00,,
11960,11960,$4.00,$4.00,,,11960,11960,$9.00,$9.00,,
11970,11971,$9.00,$39.00,,,11970,11971,$14.00,$44.00,,
11975,11975,$4.00,$4.00,,,11975,11975,$9.00,$9.00,,
11976,11976,$12.00,$42.00,,,11976,11976,$17.00,$47.00,,
11977,11977,$9.00,$39.00,,,11977,11977,$14.00,$44.00,,
11980,11983,$14.00,$40.00,,,11980,11983,$19.00,$45.00,,
12001,12004,$12.00,$32.00,,,12001,12004,$17.00,$37.00,,
12005,12007,$15.00,$35.00,,,12005,12007,$20.00,$40.00,,
12011,12015,$18.00,$38.00,,,12011,12015,$23.00,$43.00,,
12016,12018,$21.00,$41.00,,,12016,12018,$26.00,$46.00,,
12020,12021,$20.00,$50.00,,,12020,12021,$25.00,$55.00,,
12031,12034,$15.00,$35.00,,,12031,12034,$20.00,$40.00,,
12035,12037,$18.00,$38.00,,,12035,12037,$23.00,$43.00,,
12041,12044,$17.00,$37.00,,,12041,12044,$22.00,$42.00,,
12045,12047,$19.00,$39.00,,,12045,12047,$24.00,$44.00,,
12051,12054,$21.00,$41.00,,,12051,12054,$26.00,$46.00,,
12055,12057,$25.00,$45.00,,,12055,12057,$30.00,$50.00,,
13100,13121,$21.00,$41.00,,,13100,13121,$26.00,$46.00,,
13122,13122,$21.00,$41.00,,,13122,13122,$26.00,$46.00,,
13131,13132,$23.00,$43.00,,,13131,13132,$28.00,$48.00,,
13133,13133,$23.00,$43.00,,,13133,13133,$28.00,$48.00,,
13150,13152,$25.00,$45.00,,,13150,13152,$30.00,$50.00,,
13153,13153,$25.00,$45.00,,,13153,13153,$30.00,$50.00,,
13160,13160,$35.00,$60.00,,,13160,13160,$40.00,$65.00,,
13300,13300,$27.00,$47.00,,,13300,13300,$32.00,$52.00,,
13350,13351,$35.00,$65.00,,,13350,13351,$40.00,$70.00,,
14000,14021,$27.00,$47.00,,,14000,14021,$32.00,$52.00,,
14040,14040,$29.00,$49.00,,,14040,14040,$34.00,$54.00,,
14041,14041,$31.00,$51.00,,,14041,14041,$36.00,$56.00,,
14060,14061,$30.00,$50.00,,,14060,14061,$35.00,$55.00,,
14300,14302,$34.00,$64.00,,,14300,14302,$39.00,$69.00,,
14350,14350,$35.00,$65.00,,,14350,14350,$40.00,$70.00,,
15000,15000,$15.00,$45.00,,,15000,15000,$20.00,$50.00,,
15001,15001,$15.00,$45.00,,,15001,15001,$20.00,$50.00,,
15002,15005,$15.00,$45.00,,,15002,15005,$20.00,$50.00,,
15040,15040,$35.00,$65.00,,,15040,15040,$40.00,$70.00,,
15050,15050,$20.00,$50.00,,,15050,15050,$25.00,$55.00,,
15100,15121,$20.00,$50.00,,,15100,15121,$25.00,$55.00,,
15130,15130,$20.00,$50.00,,,15130,15130,$25.00,$55.00,,
15131,15131,$15.00,$45.00,,,15131,15131,$20.00,$50.00,,
15135,15135,$20.00,$50.00,,,15135,15135,$25.00,$55.00,,
15136,15136,$15.00,$45.00,,,15136,15136,$20.00,$50.00,,
15150,15152,$30.00,$60.00,,,15150,15152,$35.00,$65.00,,
15155,15157,$30.00,$60.00,,,15155,15157,$35.00,$65.00,,
15170,15171,$20.00,$50.00,,,15170,15171,$25.00,$55.00,,
15175,15176,$20.00,$50.00,,,15175,15176,$25.00,$55.00,,
15200,15261,$30.00,$60.00,,,15200,15261,$35.00,$65.00,,
15271,15276,$20.00,$50.00,,,15271,15276,$25.00,$55.00,,
15277,15278,$35.00,$65.00,,,15277,15278,$40.00,$70.00,,
15300,15301,$20.00,$50.00,,,15300,15301,$25.00,$55.00,,
15320,15321,$20.00,$50.00,,,15320,15321,$25.00,$55.00,,
15330,15331,$20.00,$50.00,,,15330,15331,$25.00,$55.00,,
15335,15336,$20.00,$50.00,,,15335,15336,$25.00,$55.00,,
15340,15341,$20.00,$50.00,,,15340,15341,$25.00,$55.00,,
15342,15343,$20.00,$50.00,,,15342,15343,$25.00,$55.00,,
15350,15410,$35.00,$65.00,,,15350,15410,$40.00,$70.00,,
15412,15416,$45.00,$75.00,,,15412,15416,$50.00,$80.00,,
15420,15421,$20.00,$50.00,,,15420,15421,$25.00,$55.00,,
15430,15431,$20.00,$50.00,,,15430,15431,$25.00,$55.00,,
15500,15515,$25.00,$55.00,,,15500,15515,$30.00,$60.00,,
15540,15580,$30.00,$60.00,,,15540,15580,$35.00,$65.00,,
15600,15650,$30.00,$60.00,,,15600,15650,$35.00,$65.00,,
15700,15720,$25.00,$55.00,,,15700,15720,$30.00,$60.00,,
15730,15730,$25.00,$55.00,,,15730,15730,$30.00,$60.00,,
15731,15731,$30.00,$60.00,,,15731,15731,$35.00,$65.00,,
15732,15732,$30.00,$60.00,,,15732,15732,$35.00,$65.00,,
15734,15734,$30.00,$60.00,,,15734,15734,$35.00,$65.00,,
15736,15736,$30.00,$60.00,,,15736,15736,$35.00,$65.00,,
15738,15738,$30.00,$60.00,,,15738,15738,$35.00,$65.00,,
15740,15770,$30.00,$60.00,,,15740,15770,$35.00,$65.00,,
15777,15777,$30.00,$60.00,,,15777,15777,$30.00,$60.00,,
15780,15789,$12.00,$32.00,,,15780,15789,$17.00,$37.00,,
15790,15791,$5.00,$5.00,,,15790,15791,$10.00,$10.00,,
15792,15793,$12.00,$32.00,,,15792,15793,$17.00,$37.00,,
15800,15810,$12.00,$42.00,,,15800,15810,$17.00,$47.00,,
15811,15811,$15.00,$45.00,,,15811,15811,$20.00,$50.00,,
15820,15823,$8.00,$20.00,,,15820,15823,$13.00,$25.00,,
15828,15828,$12.00,$24.00,,,15828,15828,$17.00,$29.00,,
15829,15829,$80.00,$110.00,,,15829,15829,$85.00,$115.00,,
15831,15839,$30.00,$60.00,,,15831,15839,$35.00,$65.00,,
15840,15845,$80.00,$110.00,,,15840,15845,$85.00,$115.00,,
15850,15851,$5.00,$21.00,,,15850,15851,$10.00,$26.00,,
15852,15852,$5.00,$21.00,,,15852,15852,$10.00,$26.00,,
15860,15860,$22.00,$52.00,,,15860,15860,$27.00,$57.00,,
15876,15876,$16.00,$36.00,,,15876,15876,$21.00,$41.00,,
15878,15878,$16.00,$36.00,,,15878,15878,$21.00,$41.00,,
15920,15922,$25.00,$55.00,,,15920,15922,$30.00,$60.00,,
15931,15931,$25.00,$55.00,,,15931,15931,$30.00,$60.00,,
15933,15933,$30.00,$60.00,,,15933,15933,$35.00,$65.00,,
15934,15934,$30.00,$60.00,,,15934,15934,$35.00,$65.00,,
15935,15936,$35.00,$65.00,,,15935,15936,$40.00,$70.00,,
15937,15937,$40.00,$70.00,,,15937,15937,$45.00,$75.00,,
15940,15940,$30.00,$60.00,,,15940,15940,$35.00,$65.00,,
15941,15944,$35.00,$65.00,,,15941,15944,$40.00,$70.00,,
15945,15946,$40.00,$70.00,,,15945,15946,$45.00,$75.00,,
15950,15950,$30.00,$60.00,,,15950,15950,$35.00,$65.00,,
15951,15951,$35.00,$65.00,,,15951,15951,$40.00,$70.00,,
15952,15952,$30.00,$60.00,,,15952,15952,$35.00,$65.00,,
15953,15954,$35.00,$65.00,,,15953,15954,$40.00,$70.00,,
15955,15956,$40.00,$70.00,,,15955,15956,$45.00,$75.00,,
15958,15958,$45.00,$75.00,,,15958,15958,$50.00,$80.00,,
15960,15960,$25.00,$55.00,,,15960,15960,$30.00,$60.00,,
15961,15964,$30.00,$60.00,,,15961,15964,$35.00,$65.00,,
15965,15965,$35.00,$65.00,,,15965,15965,$40.00,$70.00,,
15966,15966,$30.00,$60.00,,,15966,15966,$35.00,$65.00,,
15967,15967,$35.00,$65.00,,,15967,15967,$40.00,$70.00,,
15970,15970,$30.00,$60.00,,,15970,15970,$35.00,$65.00,,
15971,15971,$35.00,$65.00,,,15971,15971,$40.00,$70.00,,
15972,15972,$30.00,$60.00,,,15972,15972,$35.00,$65.00,,
15973,15973,$35.00,$65.00,,,15973,15973,$40.00,$70.00,,
15974,15974,$40.00,$70.00,,,15974,15974,$45.00,$75.00,,
15975,15975,$45.00,$75.00,,,15975,15975,$50.00,$80.00,,
15980,15980,$30.00,$60.00,,,15980,15980,$35.00,$65.00,,
15981,15981,$35.00,$65.00,,,15981,15981,$40.00,$70.00,,
15982,15982,$30.00,$60.00,,,15982,15982,$35.00,$65.00,,
15983,15983,$35.00,$65.00,,,15983,15983,$40.00,$70.00,,
15999,15999,$30.00,$60.00,,,15999,15999,$35.00,$65.00,,
16000,16000,$6.00,$6.00,,,16000,16000,$11.00,$11.00,,
16010,16010,$5.00,$35.00,,,16010,16010,$10.00,$40.00,,
16015,16015,$12.00,$42.00,,,16015,16015,$17.00,$47.00,,
16020,16020,$8.00,$8.00,,,16020,16020,$13.00,$13.00,,
16025,16025,$12.00,$12.00,,,16025,16025,$17.00,$17.00,,
16030,16030,$16.00,$16.00,,,16030,16030,$21.00,$21.00,,
16035,16035,$20.00,$40.00,,,16035,16035,$25.00,$45.00,,
16036,16036,$20.00,$40.00,,,16036,16036,$25.00,$45.00,,
16040,16041,$20.00,$50.00,,,16040,16041,$25.00,$55.00,,
17000,17201,$3.00,$3.00,,,17000,17201,$8.00,$8.00,,
17250,17250,$3.00,$3.00,,,17250,17250,$8.00,$8.00,,
17260,17260,$25.00,$50.00,,,17260,17260,$30.00,$55.00,,
17261,17264,$25.00,$50.00,,,17261,17264,$30.00,$55.00,,
17266,17266,$25.00,$50.00,,,17266,17266,$30.00,$55.00,,
17270,17270,$25.00,$50.00,,,17270,17270,$30.00,$55.00,,
17271,17271,$25.00,$50.00,,,17271,17271,$30.00,$55.00,,
17272,17272,$25.00,$50.00,,,17272,17272,$30.00,$55.00,,
17273,17273,$25.00,$50.00,,,17273,17273,$30.00,$55.00,,
17274,17274,$25.00,$50.00,,,17274,17274,$30.00,$55.00,,
17275,17275,$25.00,$50.00,,,17275,17275,$30.00,$55.00,,
17276,17276,$25.00,$50.00,,,17276,17276,$30.00,$55.00,,
17277,17277,$25.00,$50.00,,,17277,17277,$30.00,$55.00,,
17278,17278,$25.00,$50.00,,,17278,17278,$30.00,$55.00,,
17279,17279,$25.00,$50.00,,,17279,17279,$30.00,$55.00,,
17280,17280,$25.00,$50.00,,,17280,17280,$30.00,$55.00,,
17281,17281,$25.00,$50.00,,,17281,17281,$30.00,$55.00,,
17282,17282,$25.00,$50.00,,,17282,17282,$30.00,$55.00,,
17283,17283,$25.00,$50.00,,,17283,17283,$30.00,$55.00,,
17284,17284,$25.00,$50.00,,,17284,17284,$30.00,$55.00,,
17285,17285,$25.00,$50.00,,,17285,17285,$30.00,$55.00,,
17286,17286,$25.00,$50.00,,,17286,17286,$30.00,$55.00,,
17303,17307,$20.00,$50.00,,,17303,17307,$25.00,$55.00,,
17310,17310,$30.00,$60.00,,,17310,17310,$35.00,$65.00,,
17311,17314,$20.00,$50.00,,,17311,17314,$25.00,$55.00,,
17315,17315,$30.00,$60.00,,,17315,17315,$35.00,$65.00,,
17340,17360,$3.00,$3.00,,,17340,17360,$8.00,$8.00,,
17380,17380,$3.00,$3.00,,,17380,17380,$8.00,$8.00,,
17999,17999,$25.00,$55.00,,,17999,17999,$30.00,$60.00,,
19000,19001,$18.00,$38.00,,,19000,19001,$23.00,$43.00,,
19020,19020,$22.00,$42.00,,,19020,19020,$27.00,$47.00,,
19030,19030,$20.00,$40.00,,,19030,19030,$25.00,$45.00,,
19081,19084,$12.00,$42.00,,,19081,19084,$17.00,$47.00,,
19085,19086,$20.00,$35.00,,,19085,19086,$25.00,$40.00,,
19100,19100,$20.00,$34.00,,,19100,19100,$25.00,$39.00,,
19101,19101,$25.00,$50.00,,,19101,19101,$30.00,$55.00,,
19102,19103,$20.00,$34.00,,,19102,19103,$25.00,$39.00,,
19110,19112,$20.00,$40.00,,,19110,19112,$25.00,$45.00,,
19120,19120,$40.00,$65.00,,,19120,19120,$45.00,$70.00,,
19125,19125,$25.00,$50.00,,,19125,19125,$30.00,$55.00,,
19126,19126,$25.00,$50.00,,,19126,19126,$30.00,$55.00,,
19140,19140,$40.00,$70.00,,,19140,19140,$45.00,$75.00,,
19160,19160,$40.00,$70.00,,,19160,19160,$45.00,$75.00,,
19162,19162,$50.00,$80.00,,,19162,19162,$55.00,$85.00,,
19180,19180,$40.00,$70.00,,,19180,19180,$45.00,$75.00,,
19182,19182,$40.00,$70.00,,,19182,19182,$45.00,$75.00,,
19200,19200,$35.00,$65.00,,,19200,19200,$40.00,$70.00,,
